"","date","probe_name","probe_type","value"
"424","07/01/2021 08:40:00","B2pH1","pH",7.98
"425","07/01/2021 08:50:00","B2_T2","Temp",23.5
"426","07/01/2021 08:50:00","B2_pH2","pH",4.5
"427","07/01/2021 08:50:00","B1_pH2","pH",8.13
"428","07/01/2021 08:50:00","B1_T2","Temp",16.5
"429","07/01/2021 08:50:00","B1_T1","Temp",16.4
"430","07/01/2021 08:50:00","B1_pH1","pH",8.13
"431","07/01/2021 08:50:00","B2T1","Temp",18.3
"432","07/01/2021 08:50:00","B2pH1","pH",7.98
"433","07/01/2021 09:00:00","B2_T2","Temp",24.1
"434","07/01/2021 09:00:00","B2_pH2","pH",4.49
"435","07/01/2021 09:00:00","B1_pH2","pH",8.13
"436","07/01/2021 09:00:00","B1_T2","Temp",16.5
"437","07/01/2021 09:00:00","B1_T1","Temp",16.5
"438","07/01/2021 09:00:00","B1_pH1","pH",8.13
"439","07/01/2021 09:00:00","B2T1","Temp",18.5
"440","07/01/2021 09:00:00","B2pH1","pH",7.98
"441","07/01/2021 09:10:00","B2_T2","Temp",24.8
"442","07/01/2021 09:10:00","B2_pH2","pH",4.48
"443","07/01/2021 09:10:00","B1_pH2","pH",8.13
"444","07/01/2021 09:10:00","B1_T2","Temp",16.5
"445","07/01/2021 09:10:00","B1_T1","Temp",16.5
"446","07/01/2021 09:10:00","B1_pH1","pH",8.13
"447","07/01/2021 09:10:00","B2T1","Temp",18.5
"448","07/01/2021 09:10:00","B2pH1","pH",7.98
"449","07/01/2021 09:20:00","B2_T2","Temp",23.7
"450","07/01/2021 09:20:00","B2_pH2","pH",4.48
"451","07/01/2021 09:20:00","B1_pH2","pH",8.13
"452","07/01/2021 09:20:00","B1_T2","Temp",16.5
"453","07/01/2021 09:20:00","B1_T1","Temp",16.5
"454","07/01/2021 09:20:00","B1_pH1","pH",8.13
"455","07/01/2021 09:20:00","B2T1","Temp",18.5
"456","07/01/2021 09:20:00","B2pH1","pH",7.98
